Team,Year,Rank,Result,Change,Combinations,Expected_Value,Lottery_Chance,Difference,Standard_deviation,Z,Winning Percentage,Playoff outcome,previous_winning_percentage,average_future_winning_percentage_2,average_future_winning_percentage_3,average_future_winning_percentage_4,average_future_winning_percentage_5,average_future_winning_percentage_6,average_future_winning_percentage_8,average_future_winning_percentage_10,average_future_winning_percentage_12,average_future_playoff_success_2,average_future_playoff_success_3,average_future_playoff_success_4,average_future_playoff_success_5,average_future_playoff_success_6,average_future_playoff_success_8,average_future_playoff_success_10,average_future_playoff_success_12,change_in_winning_percentage_2,change_in_winning_percentage_3,change_in_winning_percentage_4,change_in_winning_percentage_5,change_in_winning_percentage_6,change_in_winning_percentage_8,change_in_winning_percentage_10,change_in_winning_percentage_12
SAC,2020,12,12,0,13.0,11.500544099650176,0.06167611238066699,-0.49945590034982423,2.304207695893853,-0.2167581946887276,0.431,0,0.431,0.39849999999999997,0.4606666666666666,0.4606666666666666,0.4606666666666666,0.4606666666666666,0.4606666666666666,0.4606666666666666,0.4606666666666666,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.03250000000000003,0.02966666666666662,0.02966666666666662,0.02966666666666662,0.02966666666666662,0.02966666666666662,0.02966666666666662,0.02966666666666662
NYK,2019,1,3,-2,140.0,3.6659431600784376,0.5195313028246746,0.6659431600784376,1.5136303577553676,0.43996419381149005,0.318,0,0.207,0.4435,0.446,0.47775,0.47775,0.47775,0.47775,0.47775,0.47775,0.5,0.3333333333333333,0.75,0.75,0.75,0.75,0.75,0.75,0.23650000000000002,0.23900000000000002,0.27075000000000005,0.27075000000000005,0.27075000000000005,0.27075000000000005,0.27075000000000005,0.27075000000000005
CLE,2019,2,5,-3,140.0,3.8641068338386426,0.5195313028246746,-1.1358931661613574,1.7258895969581196,-0.6581493788266463,0.292,0,0.232,0.299,0.37833333333333335,0.43925000000000003,0.43925000000000003,0.43925000000000003,0.43925000000000003,0.43925000000000003,0.43925000000000003,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.06699999999999998,0.14633333333333334,0.20725000000000002,0.20725000000000002,0.20725000000000002,0.20725000000000002,0.20725000000000002,0.20725000000000002
PHX,2019,3,6,-3,140.0,4.062270507598859,0.5195313028246746,-1.9377294924011412,1.9298858493264135,-1.0040643041542925,0.466,0,0.232,0.587,0.6513333333333334,0.62575,0.62575,0.62575,0.62575,0.62575,0.62575,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.355,0.41933333333333345,0.39375000000000004,0.39375000000000004,0.39375000000000004,0.39375000000000004,0.39375000000000004,0.39375000000000004
CHI,2019,4,7,-3,125.0,4.436608813950809,0.4788987095470929,-2.5633911860491914,2.115620270923414,-1.2116499455407168,0.338,0,0.268,0.3845,0.44333333333333336,0.4545,0.4545,0.4545,0.4545,0.4545,0.4545,0.0,0.3333333333333333,0.25,0.25,0.25,0.25,0.25,0.25,0.11649999999999999,0.17533333333333334,0.1865,0.1865,0.1865,0.1865,0.1865,0.1865
ATL,2019,5,8,-3,105.0,4.962191661996893,0.41939004400195423,-3.0378083380031073,2.2968627182526804,-1.3225902940834424,0.299,0,0.354,0.43399999999999994,0.46399999999999997,0.473,0.473,0.473,0.473,0.473,0.473,1.5,1.3333333333333333,1.25,1.25,1.25,1.25,1.25,1.25,0.07999999999999996,0.10999999999999999,0.119,0.119,0.119,0.119,0.119,0.119
DAL,2019,9,10,-1,60.0,7.618536939416728,0.2618555681374585,-2.381463060583272,3.098224364687135,-0.7686541645358718,0.573,0,0.402,0.5780000000000001,0.5966666666666667,0.56325,0.56325,0.56325,0.56325,0.56325,0.56325,0.5,0.6666666666666666,1.25,1.25,1.25,1.25,1.25,1.25,0.17600000000000005,0.19466666666666665,0.16125,0.16125,0.16125,0.16125,0.16125,0.16125
MIN,2019,10,11,-1,30.0,9.1933630289459,0.13818239045248246,-1.8066369710541004,2.7004398540391494,-0.6690158154612648,0.297,0,0.439,0.308,0.39233333333333337,0.42225,0.42225,0.42225,0.42225,0.42225,0.42225,0.0,0.3333333333333333,0.5,0.5,0.5,0.5,0.5,0.5,-0.131,-0.046666666666666634,-0.016749999999999987,-0.016749999999999987,-0.016749999999999987,-0.016749999999999987,-0.016749999999999987,-0.016749999999999987
LAL,2019,11,4,7,20.0,10.349606187995695,0.09369359288660478,6.349606187995695,2.5296046641403316,2.5101179951190375,0.732,5,0.451,0.6575,0.5723333333333334,0.56025,0.56025,0.56025,0.56025,0.56025,0.56025,3.0,2.0,2.25,2.25,2.25,2.25,2.25,2.25,0.20649999999999996,0.12133333333333335,0.10925000000000001,0.10925000000000001,0.10925000000000001,0.10925000000000001,0.10925000000000001,0.10925000000000001
CHA,2019,12,12,0,10.0,11.646823109300323,0.04761974487811947,-0.35317689069967706,2.0490401271009735,-0.17236211532829246,0.354,0,0.476,0.406,0.44533333333333336,0.41625,0.41625,0.41625,0.41625,0.41625,0.41625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06999999999999995,-0.03066666666666662,-0.05974999999999997,-0.05974999999999997,-0.05974999999999997,-0.05974999999999997,-0.05974999999999997,-0.05974999999999997
