Team,Year,Rank,Result,Change,Combinations,Expected_Value,Lottery_Chance,Lottery_luck
NYK,2017,7,8,-1,53.0,6.369553117455091,0.1813451096540335,-1.6304468825449092
SAC,2017,8,3,5,28.0,7.602650922348895,0.09848891367769191,4.602650922348895
DAL,2017,9,9,0,17.0,8.712546766438543,0.060481946474193846,-0.28745323356145747
NOP/CHA,2017,10,10,0,11.0,9.781683283464774,0.039371614316994916,-0.21831671653522555
CHA,2017,11,11,0,8.0,10.809125565467356,0.028718715643999325,-0.19087443453264363
DET,2017,12,12,0,7.0,11.790772670439397,0.025153471292357517,-0.20922732956060308
DEN,2017,13,13,0,6.0,12.783075461880165,0.02158113851508987,-0.21692453811983547
MIA,2017,14,14,0,5.0,13.786085641441774,0.018001747831576168,-0.21391435855822571
PHI,2016,1,1,0,250.0,2.6455851758662936,0.640412815368183,1.6455851758662936
LAL,2016,2,2,0,199.0,2.977646877122144,0.5543148661550406,0.9776468771221438
BKN,2016,3,3,0,156.0,3.4035324086893057,0.4648485253021013,0.40353240868930573
PHX,2016,4,4,0,119.0,3.9650762072085204,0.37425554556264673,-0.03492379279147961
MIN,2016,5,5,0,88.0,4.684179027736289,0.28853031240908245,-0.31582097226371086
NOP/CHA,2016,6,6,0,63.0,5.548666639329785,0.21306438439844536,-0.45133336067021457
NYK,2016,7,7,0,43.0,6.537463887477298,0.1488189689553407,-0.4625361125227023
SAC,2016,8,8,0,19.0,7.820394165969009,0.06746517204168181,-0.1796058340309914
DEN,2016,9,9,0,19.0,8.6875964639764,0.06746517204168181,-0.3124035360236004
MIL,2016,10,10,0,18.0,9.585921286532333,0.0639796141740421,-0.4140787134676671
ORL,2016,11,11,0,8.0,10.809113223105676,0.02872093292621495,-0.19088677689432387
UTA,2016,12,12,0,7.0,11.790758355599747,0.025155412203516532,-0.20924164440025272
WAS,2016,13,13,0,6.0,12.783060051024888,0.021582802809023457,-0.21693994897511182
CHI,2016,14,14,0,5.0,13.786070014500588,0.018003135272499134,-0.2139299854994121
MIN,2015,1,1,0,250.0,2.6453988815397675,0.640550900186089,1.6453988815397675
NYK,2015,2,4,-2,199.0,2.9773494756583556,0.5544458056518548,-1.0226505243416444
PHI,2015,3,3,0,156.0,3.4031092636589597,0.4649642763903354,0.4031092636589597
LAL,2015,4,2,2,119.0,3.9645479898544327,0.37435126324834894,1.9645479898544327
ORL,2015,5,5,0,88.0,4.683576746017335,0.28860481035257424,-0.3164232539826646
SAC,2015,6,6,0,63.0,5.548022865564858,0.21311937684664184,-0.4519771344351424
DEN,2015,7,7,0,43.0,6.536808133918408,0.14885718434796708,-0.46319186608159235
DET,2015,8,8,0,28.0,7.602527892001192,0.09852172144208043,-0.3974721079988077
CHA,2015,9,9,0,17.0,8.712457055014408,0.060501978163225625,-0.2875429449855922
MIA,2015,10,10,0,11.0,9.78161467440419,0.03938460743479916,-0.21838532559580948
IND,2015,11,11,0,8.0,10.809065475010229,0.02872817503435114,-0.19093452498977115
UTA,2015,12,12,0,7.0,11.79070713287019,0.025161750928581507,-0.20929286712980932
PHX,2015,13,13,0,6.0,12.78300778317856,0.021588237547686163,-0.2169922168214402
OKC/SEA,2015,14,14,0,5.0,13.78601914314443,0.018007665454612035,-0.21398085685557078
MIL,2014,1,2,-1,250.0,2.6459429934475205,0.6401630644852268,0.6459429934475205
PHI,2014,2,3,-1,199.0,2.978274452549272,0.5540718475726634,-0.021725547450727856
ORL,2014,3,4,-1,156.0,3.404553597370076,0.4646306032567911,-0.595446402629924
UTA,2014,4,5,-1,104.0,4.111449146110604,0.33371888263227667,-0.888550853889396
BOS,2014,5,6,-1,103.0,4.532685886543051,0.33095442635133443,-1.4673141134569487
LAL,2014,6,7,-1,63.0,5.548265180762932,0.21295874016564648,-1.4517348192370676
SAC,2014,7,8,-1,43.0,6.537084049572589,0.148745314836838,-1.4629159504274112
DET,2014,8,9,-1,28.0,7.6027755764341975,0.09844804365013962,-1.3972244235658025
CLE,2014,9,1,8,17.0,8.712639398802455,0.06045695817805628,7.712639398802455
NOP/CHA,2014,10,10,0,11.0,9.78175550872091,0.03935539452589364,-0.21824449127909062
DEN,2014,11,11,0,8.0,10.80919138666541,0.028706902946978932,-0.19080861333459076
NYK,2014,12,12,0,7.0,11.790848986934796,0.02514313063428095,-0.20915101306520434
MIN,2014,13,13,0,6.0,12.783157604647172,0.021572271306424345,-0.21684239535282757
PHX,2014,14,14,0,5.0,13.786168922989393,0.017994355427060963,-0.21383107701060666
ORL,2013,1,2,-1,250.0,2.64553772053647,0.64044854605958,0.6455377205364701
CHA,2013,2,4,-2,199.0,2.9775747625621873,0.5543485503128337,-1.0224252374378127
CLE,2013,3,1,2,156.0,3.403434340755651,0.46487820530073176,2.403434340755651
PHX,2013,4,5,-1,119.0,3.964956398131158,0.37428003679766775,-1.0350436018688418
NOP/CHA,2013,5,6,-1,88.0,4.684044013161571,0.28854934643054847,-1.3159559868384294
SAC,2013,6,7,-1,63.0,5.548523569527658,0.21307842048018655,-1.4514764304723418
DET,2013,7,8,-1,36.0,6.678168256934801,0.12556501285953375,-1.3218317430651991
WAS,2013,8,3,5,35.0,7.4592601813014525,0.12220971383261453,4.4592601813014525
MIN,2013,9,9,0,17.0,8.71250971692705,0.0604905472369302,-0.28749028307295
POR,2013,10,10,0,11.0,9.781654846088617,0.03937719369655432,-0.21834515391138254
PHI,2013,11,11,0,8.0,10.809100464476854,0.02872277784935907,-0.19089953552314576
TOR,2013,12,12,0,7.0,11.790744949067205,0.025157026939553247,-0.20925505093279462
DAL,2013,13,13,0,6.0,12.783046580900518,0.02158418721886877,-0.2169534190994824
UTA,2013,14,14,0,5.0,13.786057068236099,0.01800428922546677,-0.213942931763901
CHA,2012,1,2,-1,250.0,2.6466307611597397,0.6396794138949575,0.6466307611597397
WAS,2012,2,3,-1,199.0,2.9793880043095666,0.5536020449536261,-0.02061199569043337
CLE,2012,3,4,-1,138.0,3.5342730114764676,0.42178475771725255,-0.46572698852353245
NOP/CHA,2012,4,1,3,137.0,3.832052087107602,0.41933927989013,2.832052087107602
SAC,2012,5,5,0,76.0,4.838991749553751,0.25262825286266055,-0.16100825044624933
BKN,2012,6,6,0,75.0,5.390398172568782,0.24961346270969048,-0.6096018274312183
GSW,2012,7,7,0,36.0,6.678497514486379,0.1253750736974517,-0.32150248551362104
TOR,2012,8,8,0,35.0,7.459938142524422,0.12202490336888278,-0.5400618574755782
DET,2012,9,9,0,17.0,8.712865218546185,0.06039969660414709,-0.28713478145381544
MIN,2012,10,10,0,11.0,9.781930451075446,0.03931822848600332,-0.21806954892455366
POR,2012,11,11,0,8.0,10.809348703366094,0.02867983610652458,-0.1906512966339058
MIL,2012,12,12,0,7.0,11.79102777516916,0.025119436953334667,-0.20897222483083944
PHX,2012,13,13,0,6.0,12.78334754199571,0.02155195395159565,-0.21665245800429034
